incident_id,company_name,incident_type,severity,department,affected_users,financial_loss_usd,resolution_time_hours,status,incident_date
1,Torres-Alexander,Insider Threat,High,HR,441,16110,55,Investigating,2025-07-13
2,"Norton, Sanders and Smith",SQL Injection,High,HR,386,69464,64,Resolved,2026-01-01
3,Palmer-Tran,Phishing,Critical,HR,384,92024,40,Open,2025-05-26
4,Allen-Ward,Insider Threat,Critical,IT,262,83928,9,Investigating,2026-01-07
5,Cannon and Sons,DDoS,Critical,Finance,369,66317,35,Investigating,2025-10-05
6,Nelson-Brown,SQL Injection,Critical,Operations,393,60615,10,Investigating,2025-11-12
7,Woods-Wallace,Malware,Low,Operations,455,90497,27,Investigating,2025-06-13
8,Campbell Group,DDoS,Medium,Finance,83,26712,12,Investigating,2026-03-13
9,"Jones, Reed and Turner",Phishing,Critical,HR,264,77547,64,Open,2026-04-09
10,Adams-Stephenson,Phishing,Medium,IT,19,60696,26,Investigating,2026-04-12
11,Tate-Perez,SQL Injection,Low,Sales,68,71593,36,Resolved,2025-12-10
12,Conner LLC,SQL Injection,Medium,Sales,116,66305,58,Investigating,2026-03-03
13,Allen-Kelly,Insider Threat,Medium,IT,328,67555,55,Investigating,2025-06-02
14,Herrera-Harris,Malware,Medium,Operations,413,66568,7,Resolved,2026-01-25
15,"Bernard, Allen and Brown",DDoS,Critical,IT,38,49382,29,Resolved,2025-07-11
16,"Spears, Cooper and Smith",Insider Threat,Critical,Finance,260,46287,11,Investigating,2025-07-30
17,"Goodman, Wilson and Vincent",Phishing,Medium,HR,373,67784,50,Resolved,2025-10-21
18,"Martin, Perry and Ramirez",DDoS,High,IT,319,25465,59,Resolved,2026-01-09
19,Perez Inc,SQL Injection,Critical,HR,131,41543,17,Resolved,2026-01-23
20,Gonzalez Group,SQL Injection,Critical,Finance,293,15778,70,Resolved,2026-02-11
21,Gaines Ltd,SQL Injection,High,HR,328,63831,12,Resolved,2026-03-05
22,Young-Armstrong,Malware,High,Operations,265,72383,56,Open,2025-12-15
23,Norton-Hughes,Insider Threat,Low,HR,467,76461,49,Open,2026-01-06
24,Phillips-Nguyen,Malware,Critical,Sales,18,40068,38,Investigating,2026-03-11
25,Ramirez-Mendez,Insider Threat,Low,Operations,171,80931,60,Resolved,2026-01-11
26,Salazar and Sons,DDoS,Low,Finance,213,9181,28,Open,2025-07-13
27,Vazquez-Davis,Phishing,Critical,Operations,483,61243,25,Resolved,2025-11-01
28,King and Sons,DDoS,Low,IT,122,10756,68,Open,2025-11-13
29,"Brandt, Mullen and Calhoun",Insider Threat,Medium,HR,117,60158,33,Investigating,2025-11-22
30,Manning Ltd,Ransomware,High,HR,344,55374,13,Investigating,2025-10-14
31,"Castillo, Dixon and Harper",SQL Injection,Low,HR,338,90849,33,Investigating,2026-01-18
32,Schroeder-Morgan,SQL Injection,Low,Sales,195,65957,11,Resolved,2025-07-21
33,Martin-Goodwin,DDoS,Low,Operations,96,36810,63,Open,2026-03-20
34,"Flowers, Clark and Sanders",Malware,Critical,Sales,124,42541,54,Open,2026-03-04
35,Martinez-Coleman,Ransomware,Medium,IT,444,64015,21,Investigating,2025-09-23
36,Johnson LLC,Phishing,Medium,Operations,417,87666,34,Open,2025-09-21
37,Giles-Andrews,Insider Threat,Low,Finance,288,95059,71,Investigating,2025-06-02
38,Hamilton and Sons,SQL Injection,Critical,IT,79,84982,2,Investigating,2025-12-03
39,Moran-Gates,Ransomware,Critical,HR,491,59020,10,Resolved,2026-01-04
40,Castillo Group,DDoS,High,Sales,378,84002,55,Open,2025-09-25
41,Payne-Austin,DDoS,Critical,HR,301,17404,58,Resolved,2026-05-03
42,"Foster, Greene and Vaughn",Ransomware,High,Sales,230,51682,34,Open,2025-06-03
43,Wilson-Payne,SQL Injection,Low,HR,181,3460,68,Open,2026-02-21
44,Finley LLC,DDoS,Low,HR,21,48753,69,Investigating,2025-06-20
45,Becker-Mccarty,Ransomware,Medium,HR,415,68738,68,Resolved,2025-07-07
46,Collins-Briggs,Ransomware,Critical,Sales,117,23050,27,Resolved,2025-10-12
47,"Smith, Walsh and Kline",Ransomware,Critical,Operations,266,76464,61,Investigating,2025-07-08
48,Schroeder Ltd,SQL Injection,Critical,HR,384,36756,11,Resolved,2026-04-10
49,Chapman-Walker,Phishing,High,Finance,397,52255,1,Open,2025-08-22
50,Ferguson and Sons,Phishing,Critical,IT,354,49994,28,Investigating,2025-09-27
51,Hanson-Duke,Insider Threat,Critical,Operations,149,51260,59,Resolved,2025-07-23
52,Knight-Williams,Phishing,Critical,Finance,10,95420,19,Resolved,2025-06-29
53,"Rubio, Garcia and Miller",Ransomware,Low,HR,411,90386,55,Investigating,2025-06-20
54,Dean Inc,Phishing,Medium,Sales,130,24007,34,Investigating,2026-04-22
55,Hernandez-Meyer,Insider Threat,High,Operations,301,7996,56,Open,2026-02-20
56,Bailey LLC,Phishing,High,Finance,353,73658,1,Investigating,2025-08-25
57,"Patterson, Scott and Luna",Malware,Low,Operations,358,56875,68,Investigating,2025-10-08
58,Davis-Thomas,SQL Injection,Critical,HR,301,79832,66,Resolved,2025-07-13
59,Patel-Miller,Insider Threat,Medium,Sales,468,31979,57,Open,2025-06-11
60,Nelson-Adams,Insider Threat,Low,Operations,435,23929,70,Investigating,2025-12-29
61,"Martinez, Esparza and Williams",Insider Threat,Medium,Sales,281,52231,12,Investigating,2025-12-01
62,Kent-Howard,SQL Injection,Medium,Sales,48,84220,24,Open,2025-09-07
63,"Smith, Coffey and Wells",Insider Threat,High,Finance,340,79553,53,Resolved,2025-07-19
64,Nelson-Davidson,Phishing,High,Finance,26,70989,38,Open,2025-05-27
65,"Potts, Stone and Moody",Ransomware,High,Sales,59,61428,14,Open,2026-02-27
66,Walters-Young,Phishing,Low,HR,290,62952,34,Investigating,2026-01-23
67,"Miller, Thomas and Stewart",Malware,High,Operations,259,73431,9,Resolved,2025-12-16
68,Neal PLC,Insider Threat,Medium,Sales,193,88272,14,Resolved,2025-06-26
69,"Long, Palmer and Nguyen",DDoS,Low,HR,67,61956,17,Resolved,2026-03-09
70,Leonard Group,SQL Injection,Low,Sales,46,35323,24,Investigating,2026-04-19
71,"Barrett, Garrett and Johnson",Ransomware,Critical,Finance,250,64589,47,Investigating,2025-09-27
72,Kim-Craig,Ransomware,High,IT,276,65850,31,Investigating,2025-08-16
73,Welch Ltd,Malware,Critical,Operations,314,18158,5,Open,2025-08-01
74,"Rivera, Thomas and Maddox",Insider Threat,Critical,Sales,47,19615,13,Resolved,2026-04-24
75,Rodriguez-Smith,DDoS,Low,HR,234,43061,52,Investigating,2025-12-04
76,Perez LLC,Insider Threat,Critical,IT,497,54916,63,Investigating,2025-05-14
77,Rocha-Murray,Ransomware,Critical,Finance,459,15039,27,Resolved,2025-07-09
78,Price-Mendoza,Ransomware,Critical,Sales,203,66999,67,Investigating,2026-01-30
79,"Mcdowell, Hernandez and Brown",Malware,High,HR,289,53476,33,Investigating,2026-03-09
80,"Jones, Brooks and Rodriguez",DDoS,High,IT,369,92195,16,Investigating,2026-03-31
81,Dillon Ltd,Phishing,High,Finance,331,72576,59,Open,2026-03-10
82,Riley PLC,Insider Threat,Medium,HR,64,59150,38,Investigating,2026-01-11
83,Sanford Inc,Ransomware,Low,Finance,57,77697,26,Investigating,2026-03-09
84,Curry Ltd,Phishing,Low,HR,140,45059,3,Resolved,2026-01-19
85,"Hardy, Molina and Donaldson",DDoS,Medium,HR,129,52176,67,Investigating,2025-09-10
86,"Jones, Johnson and Fuller",Phishing,Critical,Sales,362,2419,61,Open,2026-03-09
87,Lee Inc,Ransomware,High,Operations,266,52218,60,Resolved,2026-04-06
88,"Johnson, Martinez and Walker",Malware,Low,HR,80,23745,57,Open,2026-04-16
89,Sandoval Ltd,Malware,Low,IT,306,22756,69,Investigating,2025-10-18
90,"Butler, Frost and Johnson",Ransomware,Medium,Sales,62,84281,44,Resolved,2026-01-12
91,Coleman and Sons,Phishing,Medium,Operations,19,83365,52,Open,2025-12-01
92,"Johnson, Solomon and Sanders",DDoS,Medium,HR,215,9907,2,Investigating,2025-10-16
93,Hughes-Carter,Malware,High,Operations,143,16410,26,Resolved,2025-11-01
94,"Rogers, Cooper and Bryant",SQL Injection,Medium,Sales,454,15344,29,Investigating,2025-10-18
95,"Scott, Weiss and Velasquez",Phishing,High,Sales,406,30550,59,Resolved,2025-10-08
96,Reid-Vazquez,SQL Injection,High,IT,359,9089,62,Resolved,2026-02-02
97,"Donaldson, Garner and Edwards",Insider Threat,High,Finance,315,97969,72,Resolved,2025-12-08
98,"Barnes, Kelly and Arnold",Insider Threat,Low,Operations,89,75063,13,Resolved,2026-04-08
99,"Mendoza, Peters and Herman",Insider Threat,Critical,HR,269,24753,46,Open,2026-02-01
100,Davis LLC,SQL Injection,Medium,IT,498,16767,69,Open,2025-07-14
101,Moore-Thomas,Insider Threat,Low,Operations,409,69259,34,Open,2025-05-30
102,"Adkins, Long and Hernandez",Phishing,Low,Finance,366,21237,37,Open,2025-12-10
103,Sanchez PLC,Malware,Medium,Operations,173,32059,26,Investigating,2025-07-02
104,Duran-Brown,SQL Injection,Low,Operations,235,72153,30,Resolved,2026-04-03
105,"Harris, Rodriguez and Hudson",SQL Injection,Critical,Sales,488,82605,33,Resolved,2026-01-26
106,Torres and Sons,SQL Injection,High,Finance,62,42329,22,Open,2025-06-03
107,"Trevino, Perkins and Allen",Ransomware,Low,Operations,291,74206,53,Resolved,2026-02-16
108,Byrd-Lee,SQL Injection,High,Finance,213,20497,20,Resolved,2025-09-03
109,Clark PLC,DDoS,Low,HR,473,82696,6,Resolved,2025-07-16
110,"Thomas, Parks and Lloyd",SQL Injection,Medium,Sales,441,65442,61,Investigating,2025-10-25
111,"Hicks, Cook and Wallace",Malware,Low,Finance,215,78433,37,Open,2025-08-22
112,Clark-Garcia,Insider Threat,Medium,Sales,260,58676,42,Investigating,2025-07-16
113,Smith-Anderson,SQL Injection,Low,Sales,488,74872,46,Open,2026-01-02
114,"Bond, White and Thompson",Insider Threat,Low,HR,410,35804,58,Open,2025-09-17
115,"Willis, Martinez and Patrick",Insider Threat,High,Operations,483,17410,44,Resolved,2025-10-13
116,Rodriguez-Thompson,Phishing,Medium,HR,91,43704,70,Investigating,2025-10-06
117,Fox Ltd,Malware,Low,HR,223,52626,49,Open,2025-07-19
118,"Soto, Valencia and Williams",Malware,Low,HR,258,74271,68,Open,2026-01-20
119,"Bryant, Miranda and Collins",Insider Threat,Low,Operations,436,66011,62,Investigating,2026-04-26
120,Thompson Ltd,Insider Threat,Critical,HR,498,86890,8,Investigating,2026-03-28
121,"Jordan, Jones and Mendoza",Phishing,High,IT,368,31106,42,Resolved,2025-08-28
122,Mata Ltd,Phishing,Medium,HR,215,31820,2,Investigating,2026-02-11
123,Fletcher Group,Ransomware,Critical,Finance,318,8142,12,Open,2025-09-03
124,"Rogers, Boyle and Daugherty",DDoS,High,Sales,159,48508,57,Investigating,2025-10-13
